Optimal solution:
Rc[alpha,mux1_plin] = 1.0
ru[extsi35] = 1645.1410144138272
ru[extsi36] = 1645.1410144138272
ru[source1] = 1645.1410144138272
ru[constant24] = 1645.1410144138272
ru[extsi37] = 1645.1410144138272
ru[muli10_plin] = 1645.1410144138272
ru[muli10_plout] = 1649.1410144110193
ru[extsi38] = 1649.1410144110193
ru[addi16_plin] = 1649.1410144110193
ru[addi16_plout] = 1649.1410144110193
ru[extsi39] = 1649.1410144110193
ru[mc_load8_plin] = 1649.1410144110193
ru[mc_load8_plout] = 1650.1410144105787
ru[mc_load0_plin] = 1645.1410144138272
ru[mc_load0_plout] = 1646.1410144133606
ru[mc_load1_plin] = 1645.1410144138272
ru[mc_load1_plout] = 1646.1410144133606
ru[muli0_plin] = 1646.1410144133606
ru[muli0_plout] = 1650.1410144105787
ru[addi0_plin] = 1650.1410144105787
ru[addi0_plout] = 1650.1410144105787
ru[mc_load2_plin] = 1645.1410144138272
ru[mc_load2_plout] = 1646.1410144133606
ru[mc_load3_plin] = 1645.1410144138272
ru[mc_load3_plout] = 1646.1410144133606
ru[muli1_plin] = 1646.1410144133606
ru[muli1_plout] = 1650.1410144105787
ru[addi1_plin] = 1650.1410144105787
ru[addi1_plout] = 1650.1410144105787
ru[muli11_plin] = 1645.1410144138272
ru[muli11_plout] = 1649.1410144124284
ru[extsi40] = 1649.1410144124284
ru[addi17_plin] = 1649.1410144124284
ru[addi17_plout] = 1649.1410144124284
ru[extsi41] = 1649.1410144124284
ru[LSQ_store0] = 1650.1410144105787
ru[addi18_plin] = 1645.1410144138272
ru[addi18_plout] = 1645.1410144138272
ru[fork10] = 1645.1410144138272
ru[trunci0] = 1645.1410144138272
ru[cmpi7_plin] = 1645.1410144138272
ru[cmpi7_plout] = 1646.1410144138272
ru[fork11] = 1646.1410144138272
ru[cond_br0] = 1646.1410144138272
ru[cond_br8] = 1646.1410144138272
ru[cond_br9] = 1646.1410144138272
ru[cond_br1] = 1646.1410144138272
ru[cond_br11] = 1646.1410144138272
ru[extsi42] = 1646.1410144138272
ru[fork12] = 1646.1410144138272
ru[constant25] = 1646.1410144138272
ru[source2] = 1646.1410144138272
ru[constant26] = 1646.1410144138272
ru[extsi43] = 1646.1410144138272
ru[source3] = 1646.1410144138272
ru[constant27] = 1646.1410144138272
ru[extsi44] = 1646.1410144138272
ru[addi19_plin] = 1646.1410144138272
ru[addi19_plout] = 1646.1410144138272
ru[fork13] = 1646.1410144138272
ru[trunci1] = 1646.1410144138272
ru[cmpi8_plin] = 1646.1410144138272
ru[cmpi8_plout] = 1646.1410144138272
ru[fork14] = 1646.1410144138272
ru[cond_br2] = 1646.1410144138272
ru[cond_br13] = 1646.1410144138272
ru[cond_br14] = 1646.1410144138272
ru[cond_br15] = 1646.1410144138272
ru[cond_br3] = 1646.1410144138272
ru[extsi45] = 1649.1410144105787
ru[mux26_plin] = 1649.1410144105787
ru[mux26_plout] = 1649.1410144105787
ru[fork15] = 1649.1410144105787
ru[extsi46] = 1649.1410144105787
ru[mux8_plin] = 1649.1410144105787
ru[mux8_plout] = 1649.1410144105787
ru[mux9_plin] = 1649.1410144105787
ru[mux9_plout] = 1649.1410144105787
ru[control_merge13] = 1649.1410144105787
ru[fork16] = 1649.1410144105787
ru[fork17] = 1649.1410144105787
ru[constant28] = 1649.1410144105787
ru[mc_load6_plin] = 1649.1410144105787
ru[mc_load6_plout] = 1649.1410144105787
ru[extsi47] = 1649.1410144105787
ru[mux27_plin] = 1649.1410144105787
ru[mux27_plout] = 1649.1410144105787
ru[fork18] = 1650.1410144105787
ru[extsi48] = 1650.1410144105787
ru[extsi49] = 1650.1410144105787
ru[extsi50] = 1650.1410144105787
ru[mux11_plin] = 1649.1410144105787
ru[mux11_plout] = 1650.1410144105787
ru[mux12_plin] = 1649.1410144105787
ru[mux12_plout] = 1649.1410144105787
ru[mux13_plin] = 1649.1410144105787
ru[mux13_plout] = 1650.1410144105787
ru[fork19] = 1650.1410144105787
ru[mux28_plin] = 1649.1410144105787
ru[mux28_plout] = 1650.1410144105787
ru[fork20] = 1650.1410144105787
ru[extsi51] = 1650.1410144105787
ru[control_merge14] = 1649.1410144105787
ru[fork21] = 1649.1410144105787
ru[lazy_fork1] = 1650.1410144105787
ru[source4] = 1650.1410144105787
ru[constant29] = 1650.1410144105787
ru[fork22] = 1650.1410144105787
ru[extsi52] = 1650.1410144105787
ru[extsi53] = 1650.1410144105787
ru[source5] = 1650.1410144105787
ru[constant30] = 1650.1410144105787
ru[extsi54] = 1650.1410144105787
ru[muli12_plin] = 1650.1410144105787
ru[muli12_plout] = 1650.1410144105787
ru[extsi55] = 1650.1410144105787
ru[addi20_plin] = 1650.1410144105787
ru[addi20_plout] = 1650.1410144105787
ru[extsi56] = 1650.1410144105787
ru[LSQ_load2_plin] = 1650.1410144105787
ru[LSQ_load2_plout] = 1650.1410144105787
ru[muli2_plin] = 1650.1410144105787
ru[muli2_plout] = 1650.1410144105787
ru[mc_load4_plin] = 1650.1410144105787
ru[mc_load4_plout] = 1650.1410144105787
ru[muli3_plin] = 1650.1410144105787
ru[muli3_plout] = 1650.1410144105787
ru[addi2_plin] = 1650.1410144105787
ru[addi2_plout] = 1650.1410144105787
ru[addi21_plin] = 1650.1410144105787
ru[addi21_plout] = 1650.1410144105787
ru[fork23] = 1650.1410144105787
ru[trunci2] = 1650.1410144105787
ru[cmpi9_plin] = 1650.1410144105787
ru[cmpi9_plout] = 1650.1410144105787
ru[fork24] = 1650.1410144105787
ru[cond_br4] = 1650.1410144105787
ru[cond_br18] = 1650.1410144105787
ru[cond_br19] = 1650.1410144105787
ru[cond_br20] = 1650.1410144105787
ru[cond_br5] = 1650.1410144105787
ru[cond_br22] = 1650.1410144105787
ru[fork25] = 1650.1410144105787
ru[extsi57] = 1650.1410144105787
ru[extsi58] = 1650.1410144105787
ru[lazy_fork2] = 1650.1410144105787
ru[fork26] = 1650.1410144105787
ru[constant3] = 1650.1410144105787
ru[extsi11] = 1650.1410144105787
ru[constant31] = 1650.1410144105787
ru[source6] = 1650.1410144105787
ru[constant32] = 1650.1410144105787
ru[extsi59] = 1650.1410144105787
ru[source7] = 1650.1410144105787
ru[constant33] = 1650.1410144105787
ru[extsi60] = 1650.1410144105787
ru[LSQ_store1] = 1650.1410144105787
ru[addi22_plin] = 1650.1410144105787
ru[addi22_plout] = 1650.1410144105787
ru[fork27] = 1650.1410144105787
ru[trunci3] = 1650.1410144105787
ru[cmpi10_plin] = 1650.1410144105787
ru[cmpi10_plout] = 1650.1410144105787
ru[fork28] = 1650.1410144105787
ru[cond_br6] = 1650.1410144105787
ru[cond_br24] = 1650.1410144105787
ru[cond_br25] = 1650.1410144105787
ru[cond_br26] = 1650.1410144105787
ru[cond_br40] = 1650.1410144105787
ru[extsi61] = 1650.1410144105787
ru[mux29_plin] = 1650.1410144105787
ru[mux29_plout] = 1650.1410144105787
ru[fork29] = 1650.1410144105787
ru[extsi62] = 1650.1410144105787
ru[extsi63] = 1650.1410144105787
ru[fork30] = 1650.1410144105787
ru[mux16_plin] = 1650.1410144105787
ru[mux16_plout] = 1650.1410144105787
ru[control_merge15] = 1650.1410144105787
ru[fork31] = 1650.1410144105787
ru[lazy_fork3] = 1650.1410144105787
ru[fork32] = 1650.1410144105787
ru[constant4] = 1650.1410144105787
ru[extsi15] = 1650.1410144105787
ru[constant34] = 1650.1410144105787
ru[source8] = 1650.1410144105787
ru[constant35] = 1650.1410144105787
ru[extsi64] = 1650.1410144105787
ru[source9] = 1650.1410144105787
ru[constant36] = 1650.1410144105787
ru[extsi65] = 1650.1410144105787
ru[LSQ_load3_plin] = 1650.1410144105787
ru[LSQ_load3_plout] = 1650.1410144105787
ru[mc_load5_plin] = 1650.1410144105785
ru[mc_load5_plout] = 1650.1410144105785
ru[addi3_plin] = 1650.1410144105787
ru[addi3_plout] = 1650.1410144105787
ru[LSQ_store2] = 1650.1410144105787
ru[addi23_plin] = 1650.1410144105787
ru[addi23_plout] = 1650.1410144105787
ru[fork33] = 1650.1410144105787
ru[trunci4] = 1650.1410144105787
ru[cmpi11_plin] = 1650.1410144105787
ru[cmpi11_plout] = 1650.1410144105787
ru[fork34] = 1650.1410144105787
ru[cond_br41] = 1650.1410144105787
ru[cond_br29] = 1650.1410144105787
ru[cond_br30] = 1650.1410144105787
ru[cond_br42] = 1650.1410144105787
ru[extsi66] = 1650.1410144105787
ru[mux30_plin] = 1650.1410144105787
ru[mux30_plout] = 1650.1410144105787
ru[fork35] = 1650.1410144105787
ru[extsi67] = 1650.1410144105787
ru[mux18_plin] = 1650.1410144105787
ru[mux18_plout] = 1650.1410144105787
ru[control_merge16] = 1650.1410144105787
ru[fork36] = 1650.1410144105787
ru[fork37] = 1650.1410144105787
ru[constant37] = 1650.1410144105787
ru[mc_load7_plin] = 1650.1410144105787
ru[mc_load7_plout] = 1650.1410144105787
ru[extsi68] = 1650.1410144105787
ru[mux31_plin] = 1650.1410144105787
ru[mux31_plout] = 1650.1410144105787
ru[fork38] = 1650.1410144105787
ru[extsi69] = 1650.1410144105787
ru[extsi70] = 1650.1410144105787
ru[extsi71] = 1650.1410144105787
ru[mux20_plin] = 1650.1410144105787
ru[mux20_plout] = 1650.1410144105787
ru[mux21_plin] = 1650.1410144105787
ru[mux21_plout] = 1650.1410144105787
ru[fork39] = 1650.1410144105787
ru[mux32_plin] = 1650.1410144105787
ru[mux32_plout] = 1650.1410144105787
ru[fork40] = 1650.1410144105787
ru[extsi72] = 1650.1410144105787
ru[control_merge17] = 1650.1410144105787
ru[fork41] = 1650.1410144105787
ru[fork42] = 1650.1410144105787
ru[source10] = 1650.1410144105787
ru[constant38] = 1650.1410144105787
ru[fork43] = 1650.1410144105787
ru[extsi73] = 1650.1410144105787
ru[extsi74] = 1650.1410144105787
ru[source11] = 1650.1410144105787
ru[constant39] = 1650.1410144105787
ru[extsi75] = 1650.1410144105787
ru[muli13_plin] = 1650.1410144105787
ru[muli13_plout] = 1650.1410144105787
ru[extsi76] = 1650.1410144105787
ru[addi24_plin] = 1650.1410144105787
ru[addi24_plout] = 1650.1410144105787
ru[extsi77] = 1650.1410144105787
ru[LSQ_load5_plin] = 1650.1410144105787
ru[LSQ_load5_plout] = 1650.1410144105787
ru[muli4_plin] = 1650.1410144105787
ru[muli4_plout] = 1650.1410144105787
ru[LSQ_load6_plin] = 1650.1410144105787
ru[LSQ_load6_plout] = 1650.1410144105787
ru[muli5_plin] = 1650.1410144105787
ru[muli5_plout] = 1651.1410144105787
ru[addi4_plin] = 1651.1410144105787
ru[addi4_plout] = 1651.1410144105787
ru[addi25_plin] = 1650.1410144105787
ru[addi25_plout] = 1650.1410144105787
ru[fork44] = 1650.1410144105787
ru[trunci5] = 1651.1410144105787
ru[cmpi12_plin] = 1650.1410144105787
ru[cmpi12_plout] = 1651.1410144105787
ru[fork45] = 1651.1410144105787
ru[cond_br43] = 1651.1410144105787
ru[cond_br33] = 1651.1410144105787
ru[cond_br34] = 1651.1410144105787
ru[cond_br44] = 1651.1410144105787
ru[cond_br36] = 1651.1410144105787
ru[fork46] = 1651.1410144105787
ru[extsi78] = 1651.1410144105787
ru[extsi79] = 1651.1410144105787
ru[fork47] = 1651.1410144105787
ru[constant5] = 1651.1410144105787
ru[extsi22] = 1651.1410144105787
ru[source12] = 1651.1410144105787
ru[constant40] = 1651.1410144105787
ru[extsi80] = 1651.1410144105787
ru[source13] = 1651.1410144105787
ru[constant41] = 1651.1410144105787
ru[extsi81] = 1651.1410144105787
ru[mc_store0] = 1651.1410144105787
ru[addi26_plin] = 1651.1410144105787
ru[addi26_plout] = 1651.1410144105787
ru[fork48] = 1651.1410144105787
ru[trunci6] = 1651.1410144105787
ru[cmpi13_plin] = 1651.1410144105787
ru[cmpi13_plout] = 1651.1410144105787
ru[fork49] = 1651.1410144105787
ru[cond_br45] = 1651.1410144105787
ru[cond_br38] = 1651.1410144105787
ru[cond_br39] = 1651.1410144105787
ru[return1_plin] = 1651.1410144105787
ru[return1_plout] = 1651.1410144105787
ru[end1_plin] = 1651.1410144105787
ru[end1_plout] = 1651.1410144105787
ru[LSQ3] = 1650.1410144105787
ru[LSQ4] = 1650.1410144105787
ru[sink0] = 1646.1410144138272
ru[sink1] = 1646.1410144138272
ru[sink2] = 1646.1410144138272
ru[sink3] = 1650.1410144105787
ru[sink4] = 1650.1410144105787
ru[sink5] = 1650.1410144105787
ru[sink6] = 1650.1410144105787
ru[sink7] = 1650.1410144105787
ru[sink8] = 1650.1410144105787
ru[sink9] = 1651.1410144105787
ru[sink10] = 1651.1410144105787
ru[sink11] = 1651.1410144105787
Tin[fork11,cond_br8] = 1.005650844831486
Tin[mux25_plout,fork5] = 8.588000000000001
Tin[muli11_plin,muli11_plout] = 10.0
Tin[cond_br4,sink3] = 10.0
Tin[mux32_plin,mux32_plout] = 3.9381366248850247
Tin[constant38,fork43] = 0.0
Tin[fork33,trunci4] = 10.0
Tin[fork20,cond_br5] = 10.0
Tin[fork24,cond_br19] = 10.0
Tin[addi19_plin,addi19_plout] = 2.0049707567967445
Tin[mux20_plout,addi4_plin] = 10.0
Tin[lazy_fork0,cond_br11] = 5.017583532457819
Tin[lazy_fork2,LSQ4] = 10.0
Tin[fork8,constant2] = 10.0
Tin[extsi42,addi19_plin] = 1.0273305782938995
Tin[cmpi9_plin,cmpi9_plout] = 3.9499532205899124
Tin[constant25,cond_br3] = 10.0
Tin[constant27,extsi44] = 0.0
Tin[extsi46,mc_load6_plin] = 10.0
Tin[source8,constant35] = 0.0
Tin[fork31,mux16_plin] = 10.0
Tin[addi4_plout,cond_br33] = 10.0
Tin[fork34,cond_br30] = 10.0
Tin[extsi50,mc_load4_plin] = 10.0
Tin[mux29_plin,mux29_plout] = 3.9381366248850247
Tin[lazy_fork1,cond_br22] = 10.0
Tin[constant33,extsi60] = 0.0
Tin[control_merge14,lazy_fork1] = 10.0
Tin[extsi43,cmpi8_plin] = 0.0
Tin[fork39,muli4_plin] = 0.0
Tin[cond_br45,mux30_plin] = 10.0
Tin[cond_br42,sink8] = 10.0
Tin[mux26_plin,mux26_plout] = 3.9381366248850247
Tin[beta,mux2_plin] = 0.0
Tin[source9,constant36] = 0.0
Tin[LSQ_store0,LSQ3] = 10.0
Tin[cond_br25,mux9_plin] = 10.0
Tin[extsi25,mux23_plin] = 10.0
Tin[extsi65,addi23_plin] = 0.0
Tin[extsi80,cmpi13_plin] = 0.0
Tin[fork26,constant3] = 10.0
Tin[cond_br0,mux24_plin] = 2.888414701392065
Tin[source0,constant23] = 0.0
Tin[addi2_plin,addi2_plout] = 3.960836771580765
Tin[cond_br40,sink6] = 10.0
Tin[extsi56,LSQ_load2_plin] = 10.0
Tin[cmpi12_plout,fork45] = 10.0
Tin[mux2_plin,mux2_plout] = 6.947452192476828
Tin[mc_load1_plin,mc_load1_plout] = 10.0
Tin[cond_br8,mux4_plin] = 5.564534842653638
Tin[cond_br18,LSQ_store1] = 0.0
Tin[fork22,extsi53] = 0.0
Tin[cond_br11,control_merge12] = 5.0175835324581435
Tin[addi3_plout,LSQ_store2] = 10.0
Tin[fork34,cond_br42] = 0.0
Tin[muli5_plout,addi4_plin] = 0.0
Tin[extsi48,addi21_plin] = 10.0
Tin[mc_load8_plin,mc_load8_plout] = 10.0
Tin[extsi57,addi22_plin] = 0.0
Tin[fork41,mux32_plin] = 10.0
Tin[fork17,control_merge14] = 10.0
Tin[extsi38,addi16_plin] = 0.0
Tin[fork40,extsi72] = 0.0
Tin[mux12_plin,mux12_plout] = 3.9381366248850247
Tin[mc_load4_plin,mc_load4_plout] = 10.0
Tin[addi17_plout,extsi41] = 10.0
Tin[addi18_plout,fork10] = 8.71117052100418
Tin[fork3,extsi28] = 6.5179994259888785
Tin[fork35,mux32_plin] = 10.0
Tin[fork42,LSQ3] = 10.0
Tin[cmpi9_plout,fork24] = 10.0
Tin[LSQ_load5_plout,muli4_plin] = 0.0
Tin[fork25,extsi58] = 0.0
Tin[muli3_plin,muli3_plout] = 10.0
Tin[extsi32,muli10_plin] = 10.0
Tin[fork31,mux29_plin] = 10.0
Tin[cond_br24,mux16_plin] = 10.0
Tin[addi25_plout,fork44] = 10.0
Tin[cmpi13_plin,cmpi13_plout] = 3.9499532205899124
Tin[mc_load2_plin,mc_load2_plout] = 10.0
Tin[lazy_fork0,LSQ3] = 10.0
Tin[extsi35,muli10_plin] = 10.0
Tin[fork19,cond_br20] = 10.0
Tin[fork1,mux23_plin] = 5.124480551373808
Tin[source13,constant41] = 0.0
Tin[LSQ_load5_plin,LSQ_load5_plout] = 10.0
Tin[fork45,cond_br36] = 10.0
Tin[extsi81,addi26_plin] = 0.0
Tin[cmpi11_plin,cmpi11_plout] = 3.9499532205899124
Tin[muli1_plin,muli1_plout] = 10.0
Tin[fork40,cond_br44] = 10.0
Tin[cond_br41,sink7] = 10.0
Tin[fork34,cond_br29] = 10.0
Tin[fork24,cond_br4] = 10.0
Tin[mc_load0_plout,muli0_plin] = 1.412
Tin[fork37,constant37] = 10.0
Tin[fork45,cond_br44] = 10.0
Tin[LSQ_load3_plout,addi3_plin] = 0.0
Tin[fork48,cmpi13_plin] = 10.0
Tin[fork46,extsi78] = 10.0
Tin[addi25_plin,addi25_plout] = 3.9474357958564235
Tin[cond_br39,return1_plin] = 10.0
Tin[control_merge13,fork17] = 10.0
Tin[extsi64,cmpi11_plin] = 0.0
Tin[fork0,constant0] = 10.0
Tin[fork5,extsi31] = 10.0
Tin[extsi55,addi20_plin] = 0.0
Tin[trunci0,cond_br0] = 10.0
Tin[mux4_plout,cond_br8] = 3.1372570030761473
Tin[cond_br13,mux8_plin] = 10.0
Tin[extsi74,cmpi12_plin] = 0.0
Tin[control_merge12,lazy_fork0] = 5.017583532457819
Tin[source1,constant24] = 0.0
Tin[extsi73,muli13_plin] = 10.0
Tin[fork21,mux27_plin] = 10.0
Tin[control_merge15,fork31] = 10.0
Tin[extsi30,fork4] = 8.588000000000001
Tin[control_merge17,fork41] = 10.0
Tin[LSQ3,end1_plin] = 10.0
Tin[control_merge12,fork7] = 5.052704202437937
Tin[cond_br8,cond_br13] = 5.469012899801839
Tin[LSQ4,end1_plin] = 10.0
Tin[source2,constant26] = 0.0
Tin[addi24_plout,extsi77] = 10.0
Tin[fork21,mux11_plin] = 10.0
Tin[source7,constant33] = 0.0
Tin[mux13_plin,mux13_plout] = 5.490295784357495
Tin[return1_plin,return1_plout] = 3.9381198810383817
Tin[fork24,cond_br18] = 10.0
Tin[cond_br2,mux23_plin] = 5.115413745759658
Tin[muli4_plin,muli4_plout] = 10.0
Tin[fork41,mux21_plin] = 10.0
Tin[constant5,extsi22] = 10.0
Tin[addi17_plin,addi17_plout] = 8.160940830283952
Tin[lazy_fork2,cond_br26] = 0.0
Tin[control_merge14,fork21] = 10.0
Tin[mux16_plin,mux16_plout] = 3.9381366248850247
Tin[alpha,mux1_plin] = 0.0
Tin[fork4,mc_load3_plin] = 8.588000000000001
Tin[lazy_fork1,LSQ3] = 10.0
Tin[LSQ3,LSQ_load2_plin] = 10.0
Tin[cond_br19,mux12_plin] = 10.0
Tin[constant39,extsi75] = 0.0
Tin[mc_load1_plout,muli0_plin] = 1.412
Tin[fork33,cmpi11_plin] = 10.0
Tin[addi21_plin,addi21_plout] = 3.9474357958564235
Tin[mux30_plout,fork35] = 10.0
Tin[mux28_plout,fork20] = 10.0
Tin[fork28,cond_br6] = 10.0
Tin[fork1,mux1_plin] = 5.124480551373829
Tin[fork43,extsi74] = 0.0
Tin[cond_br1,extsi42] = 1.0218098407802865
Tin[addi21_plout,fork23] = 10.0
Tin[constant34,cond_br42] = 10.0
Tin[trunci6,cond_br45] = 10.0
Tin[extsi28,addi16_plin] = 6.5179994259886
Tin[constant2,extsi2] = 10.0
Tin[fork44,trunci5] = 10.0
Tin[control_merge11,fork2] = 5.017583532458062
Tin[fork48,trunci6] = 10.0
Tin[muli10_plin,muli10_plout] = 10.0
Tin[constant0,extsi25] = 10.0
Tin[extsi52,cmpi9_plin] = 0.0
Tin[fork9,extsi34] = 0.0
Tin[constant28,extsi47] = 10.0
Tin[cond_br39,control_merge16] = 10.0
Tin[cond_br44,mux32_plin] = 10.0
Tin[extsi41,LSQ_store0] = 10.0
Tin[fork46,extsi79] = 0.0
Tin[mux9_plout,mux13_plin] = 10.0
Tin[mc_load5_plout,addi3_plin] = 1.412
Tin[cond_br3,extsi45] = 10.0
Tin[fork3,extsi27] = 6.5179994259888785
Tin[fork13,trunci1] = 2.9832614002935456
Tin[mux31_plin,mux31_plout] = 3.9381366248850247
Tin[fork35,extsi67] = 10.0
Tin[addi18_plin,addi18_plout] = 7.598999131832301
Tin[trunci3,cond_br6] = 10.0
Tin[fork47,constant5] = 0.0
Tin[cmpi12_plin,cmpi12_plout] = 5.56517550499796
Tin[extsi44,addi19_plin] = 0.0
Tin[constant3,extsi11] = 10.0
Tin[fork41,mux20_plin] = 10.0
Tin[fork27,trunci3] = 10.0
Tin[mux9_plin,mux9_plout] = 3.9381366248850247
Tin[fork42,cond_br36] = 10.0
Tin[cond_br14,mux2_plin] = 5.469012899801943
Tin[addi26_plout,fork48] = 10.0
Tin[cond_br36,fork47] = 10.0
Tin[lazy_fork3,fork32] = 0.0
Tin[extsi34,muli11_plin] = 10.0
Tin[addi23_plin,addi23_plout] = 3.9474357958564235
Tin[cond_br4,mux27_plin] = 10.0
Tin[LSQ_load2_plout,muli2_plin] = 0.0
Tin[mux5_plin,mux5_plout] = 9.447376703726674
Tin[constant35,extsi64] = 0.0
Tin[fork32,constant34] = 0.0
Tin[mux16_plout,cond_br29] = 10.0
Tin[extsi67,mc_load7_plin] = 10.0
Tin[trunci2,cond_br4] = 10.0
Tin[extsi60,addi22_plin] = 0.0
Tin[mux13_plout,fork19] = 10.0
Tin[LSQ_load3_plin,LSQ_load3_plout] = 10.0
Tin[cond_br33,mc_store0] = 10.0
Tin[source6,constant32] = 0.0
Tin[fork24,cond_br22] = 10.0
Tin[fork44,cmpi12_plin] = 10.0
Tin[extsi54,addi21_plin] = 0.0
Tin[fork14,cond_br13] = 5.469012899801822
Tin[cond_br33,mux20_plin] = 10.0
Tin[fork29,extsi63] = 10.0
Tin[cmpi10_plout,fork28] = 10.0
Tin[cmpi13_plout,fork49] = 10.0
Tin[mux20_plin,mux20_plout] = 3.9381366248850247
Tin[mc_load0_plin,mc_load0_plout] = 10.0
Tin[fork15,extsi46] = 10.0
Tin[extsi29,addi18_plin] = 6.517999425988693
Tin[cond_br1,mux25_plin] = 1.0218098407804599
Tin[mux23_plout,mux25_plin] = 6.891795537912566
Tin[fork6,mc_load0_plin] = 8.588000000000001
Tin[source11,constant39] = 0.0
Tin[control_merge15,lazy_fork3] = 10.0
Tin[extsi78,addi26_plin] = 10.0
Tin[source3,constant27] = 0.0
Tin[addi26_plin,addi26_plout] = 3.9474357958564235
Tin[cond_br11,fork12] = 5.017583532460796
Tin[muli13_plout,extsi76] = 0.0
Tin[muli13_plin,muli13_plout] = 10.0
Tin[fork25,extsi57] = 0.0
Tin[muli10_plout,extsi38] = 0.0
Tin[fork12,constant25] = 10.0
Tin[control_merge16,fork37] = 10.0
Tin[constant37,extsi68] = 10.0
Tin[muli12_plout,extsi55] = 0.0
Tin[return1_plout,end1_plin] = 10.0
Tin[muli5_plin,muli5_plout] = 10.0
Tin[constant1,extsi26] = 5.032560110726575
Tin[addi23_plout,fork33] = 10.0
Tin[addi3_plin,addi3_plout] = 3.960836771580765
Tin[addi20_plout,extsi56] = 10.0
Tin[addi16_plin,addi16_plout] = 7.551015099160627
Tin[mux32_plout,fork40] = 10.0
Tin[cond_br19,cond_br24] = 10.0
Tin[cond_br24,mux8_plin] = 10.0
Tin[cmpi7_plin,cmpi7_plout] = 9.844178783728742
Tin[control_merge17,fork42] = 10.0
Tin[fork1,mux2_plin] = 5.124480551373799
Tin[fork43,extsi73] = 0.0
Tin[LSQ_load2_plout,LSQ3] = 0.0
Tin[fork26,constant31] = 0.0
Tin[cond_br30,control_merge16] = 10.0
Tin[cond_br2,sink1] = 10.0
Tin[cond_br15,control_merge11] = 5.01758353246014
Tin[mux25_plin,mux25_plout] = 7.6934547834818
Tin[fork3,extsi30] = 8.588000000000001
Tin[extsi26,mux24_plin] = 5.046027361306216
Tin[constant24,extsi37] = 0.0
Tin[muli0_plin,muli0_plout] = 10.0
Tin[fork22,extsi52] = 0.0
Tin[extsi62,addi23_plin] = 10.0
Tin[LSQ_load5_plout,LSQ3] = 0.0
Tin[lazy_fork2,fork26] = 0.0
Tin[muli3_plout,addi2_plin] = 0.0
Tin[fork21,mux13_plin] = 10.0
Tin[cond_br5,mux28_plin] = 10.0
Tin[mux11_plout,addi2_plin] = 10.0
Tin[fork36,mux18_plin] = 10.0
Tin[fork39,cond_br34] = 10.0
Tin[LSQ4,LSQ_load3_plin] = 10.0
Tin[control_merge13,fork16] = 10.0
Tin[fork14,cond_br2] = 5.115413745759727
Tin[fork7,mux24_plin] = 5.052704202436538
Tin[cond_br15,control_merge13] = 10.0
Tin[fork23,trunci2] = 10.0
Tin[start_0,fork0] = 0.0
Tin[fork16,mux9_plin] = 10.0
Tin[mux27_plin,mux27_plout] = 3.9381366248850247
Tin[source4,constant29] = 0.0
Tin[fork20,extsi51] = 10.0
Tin[muli2_plout,muli3_plin] = 0.0
Tin[addi20_plin,addi20_plout] = 3.9517467579653696
Tin[mc_load8_plout,addi0_plin] = 1.412
Tin[fork49,cond_br39] = 10.0
Tin[cond_br45,sink10] = 10.0
Tin[muli2_plin,muli2_plout] = 10.0
Tin[cond_br6,mux26_plin] = 10.0
Tin[LSQ_load6_plin,LSQ_load6_plout] = 10.0
Tin[end1_plin,end1_plout] = 5.345927362693224
Tin[fork7,mux4_plin] = 5.052704202436538
Tin[extsi70,addi25_plin] = 10.0
Tin[cond_br22,lazy_fork2] = 10.0
Tin[fork45,cond_br43] = 10.0
Tin[mux24_plout,fork3] = 6.505237614934369
Tin[fork14,cond_br3] = 10.0
Tin[source5,constant30] = 0.0
Tin[fork7,mux5_plin] = 5.052704202436538
Tin[cond_br25,sink5] = 10.0
Tin[fork21,mux12_plin] = 10.0
Tin[fork30,LSQ_load3_plin] = 0.0
Tin[fork10,cmpi7_plin] = 8.71117052100417
Tin[mc_load3_plin,mc_load3_plout] = 10.0
Tin[fork30,LSQ_store2] = 0.0
Tin[fork34,cond_br41] = 10.0
Tin[fork2,constant1] = 5.017583532456127
Tin[cond_br20,cond_br25] = 10.0
Tin[lazy_fork3,cond_br30] = 10.0
Tin[fork38,extsi70] = 10.0
Tin[extsi63,fork30] = 10.0
Tin[fork10,trunci0] = 10.0
Tin[fork24,cond_br5] = 10.0
Tin[addi16_plout,extsi39] = 8.588000000000001
Tin[extsi76,addi24_plin] = 0.0
Tin[addi19_plout,fork13] = 2.983261400292568
Tin[extsi51,addi20_plin] = 10.0
Tin[cond_br34,mux21_plin] = 10.0
Tin[fork11,cond_br1] = 1.005650844831486
Tin[cond_br36,control_merge17] = 10.0
Tin[addi1_plout,LSQ_store0] = 10.0
Tin[fork0,control_merge11] = 10.0
Tin[constant4,extsi15] = 10.0
Tin[cond_br13,mux1_plin] = 5.469012899801844
Tin[fork18,extsi50] = 10.0
Tin[extsi45,mux26_plin] = 10.0
Tin[fork28,cond_br26] = 10.0
Tin[mux8_plin,mux8_plout] = 3.9381366248850247
Tin[fork47,cond_br39] = 10.0
Tin[extsi47,mux27_plin] = 10.0
Tin[addi22_plout,fork27] = 4.640872671392323
Tin[addi2_plout,cond_br18] = 10.0
Tin[muli11_plout,extsi40] = 0.0
Tin[LSQ3,LSQ_load5_plin] = 10.0
Tin[fork32,constant4] = 10.0
